,HR density (g/cm3),HR density radius (pc),LR density (g/cm3),LR density radius (pc)
0,4.376263587853971e-17,3.2579448767364976e-06,2.708732687215509e-17,8.144862191841243e-06
1,4.1778974253225654e-17,4.886917315104747e-06,2.9365679321753064e-17,1.2217293287761866e-05
2,3.8649184332493933e-17,6.515889753472995e-06,3.1248904606287247e-17,1.628972438368249e-05
3,3.5491061653097234e-17,8.144862191841245e-06,2.9209420707530095e-17,2.0362155479603112e-05
4,3.6689480978502635e-17,9.773834630209493e-06,2.493611859583175e-17,2.4434586575523732e-05
5,4.148616702557844e-17,1.1402807068577742e-05,1.9702578438751472e-17,2.8507017671444352e-05
6,4.541142045260484e-17,1.303177950694599e-05,1.448735635017907e-17,3.257944876736497e-05
7,4.740191050112498e-17,1.4660751945314237e-05,9.921772974641417e-18,3.66518798632856e-05
8,4.76580802589567e-17,1.6289724383682486e-05,6.3097303207498815e-18,4.0724310959206225e-05
9,4.6403208170676206e-17,1.7918696822050738e-05,3.7023958011549694e-18,4.479674205512684e-05
10,4.389961528874456e-17,1.9547669260418986e-05,1.972015826938032e-18,4.8869173151047464e-05
11,4.044083196444636e-17,2.1176641698787235e-05,9.09616583055932e-19,5.294160424696808e-05
12,3.632860127941883e-17,2.2805614137155484e-05,3.041443089943402e-19,5.7014035342888704e-05
13,3.18561207084638e-17,2.4434586575523732e-05,-1.1159634392807279e-20,6.108646643880933e-05
14,2.7288313685744026e-17,2.6063559013891977e-05,-1.5421150807716526e-19,6.515889753472994e-05
15,2.284714609528524e-17,2.769253145226023e-05,-2.0675034105042626e-19,6.923132863065057e-05
16,1.8708435054268892e-17,2.932150389062848e-05,-2.196801047377434e-19,7.33037597265712e-05
17,1.49935695569212e-17,3.0950476328996727e-05,-2.0856404390542477e-19,7.737619082249181e-05
18,1.1773650334031977e-17,3.257944876736498e-05,-1.7993681606291894e-19,8.144862191841242e-05
19,9.071826496443724e-18,3.4208421205733224e-05,-1.452996730193637e-19,8.552105301433306e-05
20,6.8715343577893815e-18,3.583739364410147e-05,-1.0913803804458667e-19,8.959348411025368e-05
21,5.130648000872223e-18,3.746636608246972e-05,-7.50192856391426e-20,9.366591520617429e-05
22,3.7890110463359775e-18,3.909533852083797e-05,-4.455404437742919e-20,9.773834630209493e-05
23,2.7798683239797314e-18,4.0724310959206225e-05,-1.826286760661618e-20,0.00010181077739801553
24,2.0358823675018694e-18,4.235328339757448e-05,2.2298673196977733e-21,0.00010588320849393616
25,1.4948413934587932e-18,4.398225583594272e-05,1.5979542035818374e-20,0.0001099556395898568
26,1.1038516921565195e-18,4.561122827431097e-05,2.5033740078821698e-20,0.00011402807068577744
27,8.199314383912424e-19,4.724020071267921e-05,3.3328291452898176e-20,0.00011810050178169803
28,6.110514583287619e-19,4.8869173151047464e-05,4.331327091270828e-20,0.00012217293287761867
29,4.546209649081193e-19,5.0498145589415716e-05,5.460189073649968e-20,0.0001262453639735393
30,3.35682070973008e-19,5.212711802778396e-05,6.608530423324473e-20,0.0001303177950694599
31,2.447362355466881e-19,5.375609046615222e-05,7.692231022677202e-20,0.00013439022616538052
32,1.75572328460116e-19,5.538506290452046e-05,8.544823680276937e-20,0.00013846265726130116
33,1.2389766306962694e-19,5.701403534288872e-05,9.043819318986296e-20,0.00014253508835722177
34,8.626014306382077e-20,5.864300778125695e-05,9.196551253740906e-20,0.0001466075194531424
35,5.963289885839426e-20,6.02719802196252e-05,8.967424609975073e-20,0.00015067995054906302
36,4.127076888766308e-20,6.190095265799345e-05,8.286690049504163e-20,0.00015475238164498365
37,2.877668952060878e-20,6.35299250963617e-05,7.196150233858491e-20,0.00015882481274090426
38,2.0267477388402115e-20,6.515889753472996e-05,5.848528038370044e-20,0.00016289724383682485
39,1.4449576999839795e-20,6.67878699730982e-05,4.4374699171513897e-20,0.00016696967493274548
40,1.0628626994041356e-20,6.841684241146645e-05,3.152420285888844e-20,0.00017104210602866612
41,8.56273271201968e-21,7.00458148498347e-05,2.1198987620986477e-20,0.00017511453712458676
42,8.247352838202274e-21,7.167478728820295e-05,1.3788383478204624e-20,0.00017918696822050737
43,9.668494070748756e-21,7.33037597265712e-05,8.583369699178414e-21,0.000183259399316428
44,1.2609161162354712e-20,7.493273216493946e-05,4.540962130488482e-21,0.00018733183041234864
45,1.659963514864726e-20,7.656170460330771e-05,1.335976143512591e-21,0.00019140426150826928
46,2.0987731152558794e-20,7.819067704167595e-05,-9.002561083099233e-22,0.00019547669260418986
47,2.5100493011699577e-20,7.98196494800442e-05,-2.6180664276771154e-21,0.00019954912370011044
48,2.842715294768968e-20,8.144862191841245e-05,-4.8594607778352006e-21,0.00020362155479603113
49,3.0724352171169877e-20,8.307759435678069e-05,-7.936283877136846e-21,0.00020769398589195171
50,3.2021170955705665e-20,8.470656679514894e-05,-1.1510264190009639e-20,0.00021176641698787232
51,3.2539912710971967e-20,8.633553923351719e-05,-1.500336311242346e-20,0.00021583884808379296
52,3.256525150136525e-20,8.796451167188543e-05,-1.7731513207456707e-20,0.0002199112791797136
53,3.233240426135011e-20,8.959348411025368e-05,-1.9320064085268495e-20,0.00022398371027563418
54,3.19647827549386e-20,9.122245654862193e-05,-1.9613385095431848e-20,0.00022805614137155487
55,3.147098588439015e-20,9.285142898699019e-05,-1.8170303026666417e-20,0.00023212857246747545
56,3.077920898849751e-20,9.448040142535844e-05,-1.4947221647657907e-20,0.0002362010035633961
57,2.978852860508813e-20,9.610937386372669e-05,-1.1106701246130408e-20,0.0002402734346593167
58,2.8411182488610397e-20,9.773834630209493e-05,-7.944674302631731e-21,0.00024434586575523734
59,2.6585580625219266e-20,9.936731874046318e-05,-5.962819462183631e-21,0.00024841829685115795
60,2.4269228213927665e-20,0.00010099629117883143,-4.937058036052357e-21,0.0002524907279470786
61,2.1414421715794212e-20,0.00010262526361719967,-4.824939822976342e-21,0.00025656315904299916
62,1.7946583045741258e-20,0.00010425423605556792,-5.530201497280813e-21,0.0002606355901389198
63,1.374981868473869e-20,0.0001058832084939362,-6.356435826544367e-21,0.00026470802123484044
64,8.60791890910758e-21,0.00010751218093230444,-6.980146745066133e-21,0.00026878045233076105
65,2.752160453640159e-21,0.00010914115337067267,-7.86438800264655e-21,0.0002728528834266817
66,-1.8669553976188826e-21,0.00011077012580904092,-9.236572255938949e-21,0.00027692531452260227
67,-3.559852936578164e-21,0.00011239909824740918,-1.0620447973407254e-20,0.00028099774561852293
68,-3.747114176473135e-21,0.00011402807068577741,-1.1873750836905097e-20,0.00028507017671444354
69,-3.964224070323462e-21,0.00011565704312414566,-1.3109744407148539e-20,0.0002891426078103641
70,-4.218939461052541e-21,0.0001172860155625139,-1.4048942946014505e-20,0.00029321503890628476
71,-4.5220401834607455e-21,0.00011891498800088215,-1.4309421206521273e-20,0.0002972874700022054
72,-4.889026605676436e-21,0.00012054396043925043,-1.4065907073008626e-20,0.00030135990109812603
73,-5.343171453199536e-21,0.00012217293287761867,-1.3714966232612937e-20,0.00030543233219404664
74,-5.921467731330322e-21,0.0001238019053159869,-1.3355490737741687e-20,0.00030950476328996725
75,-6.68758533352499e-21,0.00012543087775435517,-1.3133906068614093e-20,0.0003135771943858879
76,-7.765193080548883e-21,0.00012705985019272344,-1.3079512212046976e-20,0.0003176496254818085
77,-9.452017828461279e-21,0.00012868882263109165,-1.3109369749875511e-20,0.00032172205657772914
78,-1.125918342471374e-20,0.0001303177950694599,-1.3118078881061856e-20,0.0003257944876736498
79,-1.0661151195186499e-20,0.00013194676750782818,-1.2969139813515986e-20,0.0003298669187695704
80,-7.142230944330135e-21,0.0001335757399461964,-1.2612947432032446e-20,0.00033393934986549096
81,-3.039175083241713e-21,0.00013520471238456466,-1.2024819487592797e-20,0.00033801178096141163
82,5.028799581705175e-22,0.00013683368482293292,-1.1108286370192218e-20,0.00034208421205733224
83,3.377410115180817e-21,0.00013846265726130116,-9.986092069290175e-21,0.0003461566431532529
84,5.651357692820208e-21,0.0001400916296996694,-9.059303770587288e-21,0.0003502290742491735
85,7.465261692425841e-21,0.00014172060213803766,-8.382365412749836e-21,0.00035430150534509407
86,8.930024363914841e-21,0.00014334957457640588,-7.675766787410576e-21,0.00035837393644101473
87,1.0066981477738617e-20,0.00014497854701477414,-6.439331342253406e-21,0.0003624463675369354
88,1.0807309437486132e-20,0.0001466075194531424,-4.275265262660401e-21,0.000366518798632856
89,1.1057884188067111e-20,0.00014823649189151065,-1.4781176415355702e-21,0.00037059122972877656
90,1.0780643337435361e-20,0.0001498654643298789,1.7231696704900123e-21,0.0003746636608246973
