,Reproj density (g/cm3),Reproj Density Radius (pc),CSM density (g/cm3),CSM Density Radius (pc)
0,2.4301813431825248e-17,8.144862191841243e-06,-9.999518799872283e-20,8.144862191841243e-06
1,2.72480955311242e-17,1.2217293287761866e-05,-1.0060982747671158e-19,1.2217293287761866e-05
2,3.0030000671233385e-17,1.628972438368249e-05,-1.0148729630283435e-19,1.628972438368249e-05
3,2.899555710256713e-17,2.0362155479603112e-05,-1.0264569761058648e-19,2.0362155479603112e-05
4,2.572365627285572e-17,2.4434586575523732e-05,-1.0411006474324536e-19,2.4434586575523732e-05
5,2.1341366465259322e-17,2.8507017671444352e-05,-1.0591396311990583e-19,2.8507017671444352e-05
6,1.669875361640506e-17,3.257944876736497e-05,-1.0810183564961653e-19,3.257944876736497e-05
7,1.2378409953283762e-17,3.66518798632856e-05,-1.1073245409097615e-19,3.66518798632856e-05
8,8.717610228098475e-18,4.0724310959206225e-05,-1.138840847008844e-19,4.0724310959206225e-05
9,5.849284944354046e-18,4.479674205512684e-05,-1.1766242679549345e-19,4.479674205512684e-05
10,3.748514926079343e-18,4.8869173151047464e-05,-1.222132547907481e-19,4.8869173151047464e-05
11,2.3026042395184023e-18,5.294160424696808e-05,-1.277434984989951e-19,5.294160424696808e-05
12,1.3619436244293407e-18,5.7014035342888704e-05,-1.3455854769861504e-19,5.7014035342888704e-05
13,7.804764284265381e-19,6.108646643880933e-05,-1.431336705434436e-19,6.108646643880933e-05
14,4.383860799244714e-19,6.515889753472994e-05,-1.5426646927324285e-19,6.515889753472994e-05
15,2.4563652526384154e-19,6.923132863065057e-05,-1.6945983556509327e-19,6.923132863065057e-05
16,1.4137795390964538e-19,7.33037597265712e-05,-1.9219514267096154e-19,7.33037597265712e-05
17,8.690253981915338e-20,7.737619082249181e-05,-2.182441771451569e-19,7.737619082249181e-05
18,5.899630912698656e-20,8.144862191841242e-05,-2.2021253697958794e-19,8.144862191841242e-05
19,4.4453494152603576e-20,8.552105301433306e-05,-1.867239531414889e-19,8.552105301433306e-05
20,3.602391493195827e-20,8.959348411025368e-05,-1.421154618351135e-19,8.959348411025368e-05
21,2.9990917615574545e-20,9.366591520617429e-05,-1.0194664632468874e-19,9.366591520617429e-05
22,2.45869820211069e-20,9.773834630209493e-05,-6.606092678423285e-20,9.773834630209493e-05
23,1.915898161715984e-20,0.00010181077739801553,-3.432612578104359e-20,0.00010181077739801553
24,1.3674315765552702e-20,0.00010588320849393616,-8.334526159940192e-21,0.00010588320849393616
25,8.432374520947898e-21,0.0001099556395898568,1.0669210527776938e-20,0.0001099556395898568
26,3.872633453343168e-21,0.00011402807068577744,2.4292340349793018e-20,0.00011402807068577744
27,4.220177591118798e-22,0.00011810050178169803,3.6042642652581844e-20,0.00011810050178169803
28,-1.6230093119823913e-21,0.00012217293287761867,4.8072219065451176e-20,0.00012217293287761867
29,-2.182301327063945e-21,0.0001262453639735393,5.991207184866864e-20,0.0001262453639735393
30,-1.4239776215774252e-21,0.0001303177950694599,7.061858838812311e-20,0.0001303177950694599
31,2.665349739103745e-22,0.00013439022616538052,7.973184444625635e-20,0.00013439022616538052
32,2.3662206216658884e-21,0.00013846265726130116,8.610399662146514e-20,0.00013846265726130116
33,4.3189819590071525e-21,0.00014253508835722177,8.905658222493572e-20,0.00014253508835722177
34,5.6385265628195515e-21,0.0001466075194531424,8.913311517438034e-20,0.0001466075194531424
35,5.9870768804175474e-21,0.00015067995054906302,8.62859532855206e-20,0.00015067995054906302
36,5.203948240032756e-21,0.00015475238164498365,7.991550983013454e-20,0.00015475238164498365
37,3.3024126783298334e-21,0.00015882481274090426,7.032981486914171e-20,0.00015882481274090426
38,1.0403460848266383e-21,0.00016289724383682485,5.877975454844462e-20,0.00016289724383682485
39,-0.0,0.00016696967493274548,4.683275244254579e-20,0.00016696967493274548
40,-0.0,0.00017104210602866612,3.601566573081842e-20,0.00017104210602866612
41,-0.0,0.00017511453712458676,2.7310481868757765e-20,0.00017511453712458676
42,-0.0,0.00017918696822050737,2.0962592554055812e-20,0.00017918696822050737
43,-0.0,0.000183259399316428,1.6275532598593643e-20,0.000183259399316428
44,-0.0,0.00018733183041234864,1.2353877759632053e-20,0.00018733183041234864
45,-0.0,0.00019140426150826928,9.102730199342343e-21,0.00019140426150826928
46,-0.0,0.00019547669260418986,6.901467528600838e-21,0.00019547669260418986
47,-0.0,0.00019954912370011044,5.5072168254468874e-21,0.00019954912370011044
48,-0.0,0.00020362155479603113,4.002176751537336e-21,0.00020362155479603113
49,-0.0,0.00020769398589195171,2.099315965599008e-21,0.00020769398589195171
50,-0.0,0.00021176641698787232,7.000130670424478e-23,0.00021176641698787232
51,-0.0,0.00021583884808379296,-1.6328121258734355e-21,0.00021583884808379296
52,-0.0,0.0002199112791797136,-2.4492913029549964e-21,0.0002199112791797136
53,-0.0,0.00022398371027563418,-2.014149293724152e-21,0.00022398371027563418
54,-0.0,0.00022805614137155487,-0.0,0.00022805614137155487
