,HR surface density (g/cm2),HR surf dens radius (pc),LR surface density (g/cm2),LR surface density radius (pc),Reproj surface density (g/cm2),Reproj surf dens radius (pc),CSM surface density (g/cm2),CSM Surf Dens Radius (pc)
0,0.009254187509873982,2.443458657552374e-06,0.007838507828771263,6.108646643880934e-06,0.007871618353686133,6.108646643880934e-06,-3.311052491486785e-05,6.108646643880934e-06
1,0.009169047932070592,4.072431095920622e-06,0.007526522457238152,1.0181077739801556e-05,0.007619257067489765,1.0181077739801556e-05,-9.273461025161423e-05,1.0181077739801556e-05
2,0.009034509812891214,5.701403534288872e-06,0.007868730005393001,1.425350883572218e-05,0.008077290844688986,1.425350883572218e-05,-0.00020856083929598706,1.425350883572218e-05
3,0.008843787151189466,7.330375972657121e-06,0.007534146367257962,1.83259399316428e-05,0.007890569391452898,1.83259399316428e-05,-0.00035642302419493596,1.83259399316428e-05
4,0.008589344988922543,8.95934841102537e-06,0.00669951290445222,2.2398371027563424e-05,0.007218637205103746,2.2398371027563424e-05,-0.0005191243006515285,2.2398371027563424e-05
5,0.008772791875482567,1.0588320849393618e-05,0.005557791913308235,2.6470802123484044e-05,0.006228932687045099,2.6470802123484044e-05,-0.0006711407737368647,2.6470802123484044e-05
6,0.00897009093567999,1.2217293287761868e-05,0.004306869676918107,3.054323321940467e-05,0.0050883136048541075,3.054323321940467e-05,-0.0007814439279359996,3.054323321940467e-05
7,0.00897671055504722,1.3846265726130116e-05,0.00312030462521635,3.461566431532529e-05,0.0039466933711659125,3.461566431532529e-05,-0.0008263887459495623,3.461566431532529e-05
8,0.008797277369831233,1.5475238164498363e-05,0.002107541941541418,3.868809541124592e-05,0.0029101391508211875,3.868809541124592e-05,-0.0008025972092797697,3.868809541124592e-05
9,0.008444284120000587,1.7104210602866615e-05,0.001322965934131063,4.2760526507166537e-05,0.002044742082936026,4.2760526507166537e-05,-0.0007217761488049635,4.2760526507166537e-05
10,0.007939260461373882,1.8733183041234864e-05,0.0007677418681646902,4.683295760308716e-05,0.0013724389894452177,4.683295760308716e-05,-0.0006046971212805277,4.683295760308716e-05
11,0.007311492153992115,2.0362155479603112e-05,0.0004069276599707662,5.0905388699007776e-05,0.0008824002233842425,5.0905388699007776e-05,-0.0004754725634134762,5.0905388699007776e-05
12,0.006596095024547448,2.199112791797136e-05,0.00019169470481534954,5.4977819794928406e-05,0.0005469276852238565,5.4977819794928406e-05,-0.00035523298040850707,5.4977819794928406e-05
13,0.005829187441799668,2.362010035633961e-05,7.404837401616937e-05,5.905025089084902e-05,0.00032862046222772626,5.905025089084902e-05,-0.000254572088211557,5.905025089084902e-05
14,0.00504728181852973,2.524907279470786e-05,1.9133437482293838e-05,6.312268198676965e-05,0.00019395264276941265,6.312268198676965e-05,-0.00017481920528711887,6.312268198676965e-05
15,0.004282266420476213,2.6878045233076103e-05,-6.159230899801915e-07,6.719511308269026e-05,0.00011444027420036931,6.719511308269026e-05,-0.00011505619729034953,6.719511308269026e-05
16,0.003560986228019559,2.850701767144436e-05,-2.6438329170459857e-06,7.12675441786109e-05,6.925733576139056e-05,7.12675441786109e-05,-7.190116867843655e-05,7.12675441786109e-05
17,0.002904186313576278,3.0135990109812607e-05,5.695527714152622e-06,7.533997527453151e-05,4.439762887077542e-05,7.533997527453151e-05,-3.870210115662281e-05,7.533997527453151e-05
18,0.0023244040412288077,3.176496254818086e-05,1.9671239066381866e-05,7.941240637045213e-05,3.083381884625658e-05,7.941240637045213e-05,-1.1162579779874722e-05,7.941240637045213e-05
19,0.0018286261094502406,3.3393934986549105e-05,3.5892553943646346e-05,8.348483746637275e-05,2.3285200595885644e-05,8.348483746637275e-05,1.2607353347760703e-05,8.348483746637275e-05
20,0.0014161744808900967,3.502290742491735e-05,5.259404892928141e-05,8.755726856229338e-05,1.8671398410076944e-05,8.755726856229338e-05,3.392265051920446e-05,8.755726856229338e-05
21,0.0010823470885186078,3.66518798632856e-05,6.856611231718887e-05,9.1629699658214e-05,1.5373283881890156e-05,9.1629699658214e-05,5.3192828435298715e-05,9.1629699658214e-05
22,0.000818909093151747,3.828085230165385e-05,8.259829864481372e-05,9.570213075413462e-05,1.2580615623076783e-05,9.570213075413462e-05,7.001768302173697e-05,9.570213075413462e-05
23,0.0006155055406279969,3.99098247400221e-05,9.462713682421819e-05,9.977456185005525e-05,9.958006790194953e-06,9.977456185005525e-05,8.466913003402325e-05,9.977456185005525e-05
24,0.0004616904187560907,4.153879717839035e-05,0.00010455342540356002,0.00010384699294597586,7.443230656438755e-06,0.00010384699294597586,9.711019474712129e-05,0.00010384699294597586
25,0.00034680698296924296,4.316776961675861e-05,0.00011178885274767311,0.0001079194240418965,5.114077262944437e-06,0.0001079194240418965,0.00010667477548472868,0.0001079194240418965
26,0.00026176198021542386,4.479674205512685e-05,0.0001164708450008891,0.00011199185513781712,3.1156942298479878e-06,0.00011199185513781712,0.00011335515077104113,0.00011199185513781712
27,0.0001987457550298813,4.64257144934951e-05,0.00011975271799219688,0.00011606428623373774,1.5950218588693468e-06,0.00011606428623373774,0.00011815769613332752,0.00011606428623373774
28,0.0001516480342813118,4.8054686931863345e-05,0.00012304622068036523,0.00012013671732965835,6.566628401159632e-07,0.00012013671732965835,0.00012238955784024932,0.00012013671732965835
29,0.00011604869611928018,4.96836593702316e-05,0.00012665935556802256,0.000124209148425579,3.2818603837702443e-07,0.000124209148425579,0.00012633116952964554,0.000124209148425579
30,8.878320193681863e-05,5.131263180859984e-05,0.00012990601965553997,0.0001282815795214996,5.429708532929507e-07,0.0001282815795214996,0.000129363048802247,0.0001282815795214996
31,6.782536456054922e-05,5.2941604246968094e-05,0.0001323674880720909,0.00013235401061742022,1.1462684066105173e-06,0.00013235401061742022,0.00013122121966548038,0.00013235401061742022
32,5.1769958282871585e-05,5.4570576685336346e-05,0.000133836919400505,0.00013642644171334086,1.9249930722612475e-06,0.00013642644171334086,0.00013191192632824378,0.00013642644171334086
33,3.9651656800480645e-05,5.61995491237046e-05,0.00013340593112091525,0.0001404988728092615,2.648997011583575e-06,0.0001404988728092615,0.00013075693410933168,0.0001404988728092615
34,3.071846084719193e-05,5.7828521562072844e-05,0.00013102376077629466,0.0001445713039051821,3.1168518520478675e-06,0.0001445713039051821,0.00012790690892424677,0.0001445713039051821
35,2.4311230314721123e-05,5.945749400044108e-05,0.00012701611519764453,0.0001486437350011027,3.1923079971796e-06,0.0001486437350011027,0.0001238238072004649,0.0001486437350011027
36,1.985812910119474e-05,6.108646643880933e-05,0.00012124408615860272,0.00015271616609702335,2.828157190324796e-06,0.00015271616609702335,0.00011841592896827792,0.00015271616609702335
37,1.6838888584899333e-05,6.271543887717759e-05,0.00011370189460328353,0.00015678859719294399,2.0712198882228488e-06,0.00015678859719294399,0.00011163067471506066,0.00015678859719294399
38,1.483535000169053e-05,6.434441131554584e-05,0.00010508148259869526,0.0001608610282888646,1.0422572712618262e-06,0.0001608610282888646,0.00010403922532743344,0.0001608610282888646
39,1.3533466825517228e-05,6.597338375391409e-05,9.624811561796039e-05,0.00016493345938478518,-9.095937213695161e-08,0.00016493345938478518,9.633907499009733e-05,0.00016493345938478518
40,1.273207460492619e-05,6.760235619228233e-05,8.806891572121267e-05,0.00016900589048070581,-1.154773869291526e-06,0.00016900589048070581,8.922368959050422e-05,0.00016900589048070581
41,1.2328902933693801e-05,6.923132863065058e-05,8.126934432810879e-05,0.00017307832157662648,-2.0101842007334963e-06,0.00017307832157662648,8.32795285288423e-05,0.00017307832157662648
42,1.2275318526892893e-05,7.086030106901883e-05,7.605023920731753e-05,0.0001771507526725471,-2.579368908007951e-06,0.0001771507526725471,7.862960811532549e-05,0.0001771507526725471
43,1.2544816301981418e-05,7.248927350738708e-05,7.242370789278956e-05,0.0001812231837684677,-2.8580772947189317e-06,0.0001812231837684677,7.528178518750848e-05,0.0001812231837684677
44,1.3084217752489888e-05,7.411824594575534e-05,6.970217398373251e-05,0.0001852956148643883,-2.90739194230945e-06,0.0001852956148643883,7.260956592604197e-05,0.0001852956148643883
45,1.3800566103289935e-05,7.574721838412357e-05,6.751635563927307e-05,0.00018936804596030897,-2.8327711294204375e-06,0.00018936804596030897,7.03491267686935e-05,0.00018936804596030897
